Artist,Song Name,Popularity,Lyrics
Kanye West,Ultralight Beam,70,"  We don't want no devils in the house, God  We want the lord  And that's it  Hallej- hand over Satan  Jesus praise the Lord  Hallelujah, God  We don't want no devils in the house, God  We want the lord  And that's it  Hallej- hand over Satan  Jesus praise the Lord    I'm tryna keep my faith We on an ultralight beam We on an ultralight beam This is a God dream This is a God dream This is everything This is everything   Deliver us serenity Deliver us peace Deliver us loving We know we need it You know we need it You know we need it That's why we need You now, oh Pray for Paris Pray for the parents This is a God dream This is a God dream This is a God dream   We on an ultralight beam We on an ultralight beam This is a God dream This is a God dream This is everything Everything    I'm tryna keep my faith But I'm looking for more Somewhere I can feel safe And end my holy war I'm tryna keep my faith   So why send oppression not blessings? Why, oh, why'd You do me wrong?  You persecute the weak Because it makes You feel so strong  Don't have much strength to fight So I look to the light  To make these wrongs turn right Head up high, I look to the light Hey, 'cause I know that You'll make everything alright And I know that You'll take good care of Your child Oh, no longer am afraid of the night 'Cause I, I look to the light   When they come for You, I will shield Your name I will field their questions, I will feel Your pain No one can judge They don't, they don't know They don't know Foot on the Devil's neck 'til it drifted Pangaea I'm moving all my family  from Chatham to Zambia Treat the demons just like Pam I mean I fuck with your friends, but damn, Gina I been this way since Arthur was anteater Now they wanna hit me with the woo wap, the bam Tryna snap photos of familia My daughter look just like Sia, you can't see her You can feel the lyrics, the spirit coming in braille Tubman of the underground, come and follow the trail I made Sunday Candy, I'm never going to hell I met Kanye West, I'm never going to fail He said, Let's do a good ass job with 'Chance 3' I hear you gotta sell it to snatch the Grammy Let's make it so free and the bars so hard That there ain't one gosh darn part you can't tweet This is my part, nobody else speak This is my part, nobody else speak This little light of mine Glory be to God, yeah I'ma make sure that they go where they can't go If they don't wanna ride I'ma still give 'em raincoats Know what God said when He made the first rainbow Just throw this at the end if I'm too late for the intro Ugh, I'm just having fun with it You know that a nigga was lost I laugh in my head 'Cause I bet that my ex looking back like a pillar of salt Ugh, 'cause they'll flip the script on your ass like Wesley and Spike You cannot mess with the light Look at lil' Chano from 79th   We on an ultralight beam We on an ultralight beam This is a God dream This is a God dream This is everything Everything     I'm tryna keep my faith  But I'm looking for more Somewhere I can feel safe And end my holy war   Father, this prayer is for everyone that feels they're not good enough This prayer's for everybody that feel that they're too messed up For everyone that feels they've said I'm sorry too many times You can never go too far when you can't come back home again That's why I need... Faith, more, safe, war"
Frank Ocean,Pink + White,76," Yeah, yeah  Yeah, yeah, yeah   That's the way every day goes Every time we've no control If the sky is pink and white If the ground is black and yellow It's the same way you showed me Nod my head, don't close my eyes Halfway on a slow move It's the same way you showed me If you could fly, then you'd feel south Up north's getting cold soon The way it is, we're on land Still I'm someone to hold true Keep you cool when it's still alive Won't let you down when it's all ruin   Just the same way you showed me, showed me You showed me love Glory from above Regard, my dear It's all downhill from here   In the wake of a hurricane Dark skin of a summer shade Nosedive into flood lines Tall tower of milk crates It's the same way you showed me Cannonball off the porch side Older kids trying off the roof Just the same way you showed me  If you could die and come back to life Up for air from the swimming pool You'd kneel down to the dry land Kiss the Earth that birthed you Gave you tools just to stay alive And make it out when the sun is ruined   That's the same way you showed me, showed me You showed me love Glory from above Regard, my dear It's all downhill from here   Remember life, remember how it was Climb trees, Michael Jackson, it all ends here Say what up to Matthew, to Shoob Say what up to Danny Say what up to life immortality Bending up my Nikes Running out the melpomene, nicotine Stealing granny cigs  Gimme something sweet Bitch, I might like immortality This is life, life immortality"
Drake,Passionfruit,79," Hold on, hold on, fuck that. Fuck that shit. Hold on, I got to start this mothafuckin' record over again, wait a minute. Fuck that shit. Still on this mothafuckin’ record. I'ma play this mothafucka for y'all. Ayy, y’all get some more drinks goin' on, I'll sound a whole lot better.   Listen Seein' you got ritualistic Cleansin' my soul of addiction for now 'Cause I'm fallin' apart, yeah Tension Between us just like picket fences You got issues that I won’t mention for now ’Cause we're fallin’ apart   Passionate from miles away Passive with the things you say Passin' up on my old ways I can't blame you, no, no Passionate from miles away Passive with the things you say Passin' up on my old ways I can’t blame you, no, no   Listen Harder buildin' trust from a distance I think we should rule out commitment for now 'Cause we're fallin' apart Leavin' You're just doing that to get even Don't pick up the pieces, just leave it for now They keep fallin' apart   Passionate from miles away Passive with the things you say Passin' up on my old ways I can't blame you, no, no Passionate from miles away Passive with the things you say Passin' up on my old ways I can't blame you, no, no   Um, trying to think of the right thing to say"
Harry Styles,Sign of the Times,70," Just stop your crying, it's a sign of the times Welcome to the final show Hope you're wearing your best clothes You can't bribe the door on your way to the sky You look pretty good down here But you ain't really good   We never learn, we been here before Why are we always stuck and running from The bullets? The bullets? We never learn, we been here before Why are we always stuck and running from The bullets? The bullets?   Just stop your crying, it's a sign of the times We gotta get away from here We gotta get away from here Just stop your crying, it'll be alright They told me that the end is near We gotta get away from here   Just stop your crying, have the time of your life Breaking through the atmosphere And things are pretty good from here Remember everything will be alright We can meet again somewhere Somewhere far away from here   We never learn, we been here before Why are we always stuck and running from The bullets? The bullets? We never learn, we been here before Why are we always stuck and running from The bullets? The bullets?   Just stop your crying, it's a sign of the times We gotta get away from here We gotta get away from here Stop your crying, baby, it'll be alright They told me that the end is near We gotta get away from here   We never learn, we been here before Why are we always stuck and running from The bullets? The bullets? We never learn, we been here before Why are we always stuck and running from The bullets? The bullets?   We don't talk enough, we should open up Before it's all too much Will we ever learn? We've been here before It's just what we know   Stop your crying, baby, it's a sign of the times We gotta get away, we got to get away We got to get away, we got to get away We got to get away We got to, we got to, away We got to, we got to, away We got to, we got to, away"
Ed Sheeran,Shape of You,84," The club isn't the best place to find a lover So the bar is where I go Me and my friends at the table doing shots Drinking fast and then we talk slow And you come over and start up a conversation with just me And trust me I'll give it a chance now Take my hand, stop, put Van the Man on the jukebox And then we start to dance, and now I'm singing like   Girl, you know I want your love Your love was handmade for somebody like me Come on now, follow my lead I may be crazy, don't mind me Say, boy, let's not talk too much Grab on my waist and put that body on me Come on now, follow my lead Come, come on now, follow my lead   I'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body And last night you were in my room And now my bed sheets smell like you Every day discovering something brand new I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Every day discovering something brand new I'm in love with the shape of you   One week in we let the story begin We're going out on our first date You and me are thrifty, so go all you can eat Fill up your bag and I fill up a plate We talk for hours and hours about the sweet and the sour And how your family is doing okay Leave and get in a taxi, then kiss in the backseat Tell the driver make the radio play, and I'm singing like   Girl, you know I want your love Your love was handmade for somebody like me Come on now, follow my lead I may be crazy, don't mind me Say, boy, let's not talk too much Grab on my waist and put that body on me Come on now, follow my lead Come, come on now, follow my lead   I'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body And last night you were in my room And now my bed sheets smell like you Every day discovering something brand new I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Every day discovering something brand new I'm in love with the shape of you   Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on   I'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand new I'm in love with your body Come on, be my baby, come on Come on, be my baby, come on I'm in love with your body Come on, be my baby, come on Come on, be my baby, come on I'm in love with your body Come on, be my baby, come on Come on, be my baby, come on I'm in love with your body Every day discovering something brand new I'm in love with the shape of you"
J. Cole,Ville Mentality,62," How long can I survive with this mentality? How long can I survive with this mentality? Things fall down, but don’t stop now Oh, can’t stop now Oh, won’t stop now   Trials and tribulations I'm facing In this age of information, I hate this shit Cause niggas hit my phone when they want some shit Bitches hit my phone when they want some dick Damn it, won't be long 'fore I disappear Damn it, won't be long 'fore I disappear Damn it, won't be long 'fore I disappear Damn it, won't be long 'fore I disappear You call it runnin', I call it escapin' Start a new life in a foreign location Similar to my niggas duckin' cases Can't take the possible time that he faces   How long can I survive with this mentality? How long can I survive with this mentality? Things fall down, but don’t stop now Oh, can’t stop now Oh, won’t stop now   My dad, he died—he got shot 'cause his friend set him up. And I didn't go to his funeral—and sometimes when I'm in my room, I get mad at my momma when she mean to me. And she— And she say, clean up—I say—   Nigga play me, never, give up my chain, never Give up my pride, never, show 'em my pain, never Dirt on my name, never, dirt on my name, never Dirt on my name, never, dirt on my name, never Nigga play me, never, give up my chain, never Give up my pride, never, show 'em my pain, never Dirt on my name, never, dirt on my name, never Dirt on my name, never, dirt on my name, never   How long can I survive with this mentality? How long can I survive with this mentality? Things fall down, but don’t stop now Oh, can’t stop now Oh, won’t stop now   I get mad and I slam my door and go in my room— And then, I get mad and I say, I wish my dad was here"
Chance the Rapper,Summer Friends (feat. Jeremih & Francis & The Lights),60," Ooh, ooh, ooh, incredible My Lord, incredible I believe   Socks on concrete, Jolly Rancher kids I was talkin' back and now I gotta stay at grandma's crib Bunch of tank-top, nappy headed bike-stealin' Chatham boys None of my niggas ain't had no dad None of my niggas ain't have no choice JJ, Mikey, Lil Derek and them 79th Street was America then Ice cream truck and the beauty supply Blockbuster movies and Harold's again We were still catchin' lightnin' bugs When the plague hit the backyard Had to come in at dark cause the big shorties act hard Okay now, day camp at Grand Crossing First day, niggas shootin' Summer school get to losin' students But the CPD getting new recruitment Our summer don't, our summer Our summer don't get no shine no more Our summer die, our summertime don't got no time no more   'Cause you're my friend Summer friends don't stay You're my friend Summer friends don't stay, stay around Summer friends, summer friends You're my friend Summer friends don't stay Summer friends don't stay, hey Stay around here   Ooh, I used to kill 'em with the long hair Mama hair salon doin' perms out the armchair Dad was workin' late, he treat the crib like it's a timeshare I would mow some lawns Fold my ones like a lawn chair, hugh, hugh Now I'm the same way, overtime all the time, every night, hey Ready my blessin', now I'm ready how I wait Never let a friendship get in my way Never let a blog get in my way Make the whole song do whatever I say 79th, 79th, 79th, hey 79th, 79th, 79th, hey Some of my homegirls got lost in the paperwork They was good friends but I faked the flirt 'Cause if it ain't work, can't make it work It's been a minute since I called on a friend Fucked up and fucked all my friends   'Cause you're my friend All my friends You're my friend All my— Stick around   Summer friends, summer You're my friend Summer friends don't stick around Stick around, hey And some of us 79th, 79th, 79th, hey 79th, 79th, 79th, hey 79th, 79th, 79th, hey, hey, hey You're my friend 79th, 79th, 79th, hey, 79th So put your head on my shoulder Citywide, citywide, citywide, hey Citywide, citywide, citywide, hey Citywide, citywide, citywide, hey Citywide, citywide, citywide, hey Citywide, citywide, citywide Citywide, citywide, citywide Citywide, citywide, citywide Citywide, citywide, citywide Citywide, citywide, citywide I will wait around for you I will wait around for you So lay your head on my table Lay your, lay your head on my table   May the Lord give your journey mercy May you be successful, grant you favor And bring you back safely, I love you   When I was so young before I could remember I would always treat my gang like family members Even when I changed, a nigga never changed up I always bring my friends, my friends, my friends, my friends up When I was so young before I could remember I would always treat my gang like family members Even when I changed, a nigga never changed up I always bring my friends, my friends, my friends, my friends up"
Chance the Rapper,All Night (feat. Knox Fortune),67," Come on, big fella, you drunk, big fella Two sips and now you wanna trip, big fella You not a drinker, I can see it all in your leg, big fella You wobbly, big fella, you finna fall Sit down, you drunk, big fella   All night, I been drinking all night I been drinking all night, I been drinking, ayy, ayy All night, I been drinking all night I been drinking all night, I been drinking, hey, hey All night, I been drinking all night I been drinking all night, I been drinking, ayy, ayy, ayy, ayy    Everybody outside, everybody outside When I pull up outside all night long Everybody high five, everybody wanna smile Everybody wanna lie, that's nice, no Oh, now you wanna chill? Oh, now you wanna build? Oh, now you got the bill? That's cool though Oh, now you got the gas? oh, now you wanna laugh? Oh, now you need a cab? That's true though All you do is talk, I ain't got shit to say Can't no one get in my car, I don't even valet Long discussions, oh, you my cousin? No you wasn't, you just wanna ride You just wanna talk about politics, Chicago shit and rocket ships Shut up, start dancing, ho   All night, I been drinking all night I been drinking all night, I been drinking, ayy, ayy All night, I been drinking all night I been drinking all night, I been drinking, hey, hey All night, I been drinking all night I been drinking all night, I been drinking, ayy, ayy, ayy, ayy    You just wanna spill fries in the seat Sprite on the seat, come ride on the seat, ayy Last girl, she'll lie on the seat, she'll fart on the seat Now she jog in the streets, say I don't trust no one faking like a fan, asking for a pic You should use your phone, call an Uber You a goofy if you think I don't know you need a lift Is you is or is you ain't got gas money? No IOU's or debit cards, I need cash money So back up, back up, I need space now I need you to slow down, it's not a race now Can't really hear what you gotta say now Shut up, start dancing, ho   All night, I been drinking all night I been drinking all night, I been drinking, ayy, ayy All night, I been drinking all night I been drinking all night, I been drinking, hey, hey All night, I been drinking all night I been drinking all night, I been drinking, ayy, ayy, ayy "
J. Cole,She's Mine Pt. 1,60," I never felt so alive I never felt so alive I never felt so alive  I never felt so alive    Catch me, don't you— Catch me, don't you catch me I've fallen in love for the first time I wanna cry And I ain't even tryna fight it Don't wanna die  'Cause now you're here and I just wanna be Right by your side On any night that you be crying, baby I'll dry your eyes I'll dry your eyes   Every time you go to sleep you look like you in Heaven Plus the head game is stronger than a few Excedrin You shine just like the patent leather on my new 11's You read me like a book like I'm the Bible, you the Reverend Yeah, I wanna tell the truth to you I wanna talk about my days as a youth to you Exposing you to all my demons and the reasons I'm this way I would like to paint a picture, but it'll take more than a day It would take more than some years to get all over all my fears Preventing me from letting you see all of me perfectly clear The same wall that's stopping me from letting go and shedding tears From the lack of having father, and the passing of my peers While I'm too scared to expose myself It turns out, you know me better than I know myself Better than I know myself Well how 'bout that?   She gets him  She hugs him  You tell me you miss me And I believe you, I believe you She gets him  She hugs him  You tell me you miss me And I believe you, I believe you Catch me, don't you— Catch me, don't you catch me I've fallen in love for the first time"
J. Cole,She's Mine Pt. 2,58," Catch me, don't you Catch me, don't you Catch me, I've fallen in love for the first time   For you I drop the tough guy shit, on this bus I sit Thinking 'bout you, thinking 'bout you Thinking 'bout you, thinking 'bout you Thinking 'bout you, thinking 'bout you Thinking 'bout you, thinking 'bout you Damn it feel good to have you Damn it feel good to have you Damn it feel good to have you Damn it feel good to have you   Needin' me, wantin' me, givin' me a chance to feel special To somebody in a world where they not lovin' me Handcuffs keep huggin' the, wrists of my niggas And I wish stuff was different here But if I had a magic wand to make the evil disappear That means that there would be no Santa Claus no more To bring you Christmas cheer 'Cause what he represents is really greed And the need to purchase shit from corporations That make a killin' because they feed On the wallets of the poor who be knockin' on they door Every Black Friday just to get some shit they can't afford Even with the discount, write a check, that shit bounce But as long as we got credit, it don't matter, the amount We just swipin' shit here, we don't love, we just likin' shit here What's that smell? Where's your diaper shit here? Lay on your back, don't pee right now Or else I'll have to get you back One day when you gon' want to get your way Yeah I'll have fun with that Reminisce when you came out the womb Tears of joy I think filled up the room You are now the reason that I fight I ain't never did nothing this right in my whole life Got me thinking...   Am I worthy of this gift? Am I strong enough to lift?  Into a place that I can see  Someone more important than me?  Am I worthy of this gift?  Am I strong enough to lift  Into a place that I can see  Someone more important than me?    Ib gon' ask me how I did this shit I'm gon' do a humble stunt act like I meant this shit Thats the ego taking credit for what God made Fuck this album shit, hey mama look what God made  Catch me, don't you  Catch me, don't you  Catch me I've fallen in love for the first time I wanna cry, and I ain't even tryna fight it Don't wanna die, 'cause now you're here And I just wanna be right by your side On any night that you be cryin', baby I dry your eyes, I dry your eyes   There is a God, it is a God Yeah, it is a God I never felt so alive I never felt so alive I never felt so alive  I never felt so alive  Catch me, don't you— Catch me, don't you— Catch me, I've fallen in love for the first time"
Olly Murs,Grow Up,52," I thought about you the other day What the hell happened with you and me? Cause, oh, ain't no lovin' no more You ain't as cool as you used to be Closer to the mirror than you are to me I said, oh, had to show you that door   Someday I hope we can fix it, 'cause I ain't too proud to try Say hi to your friends, and if they ever ask you why We don't talk...   Know you gotta grow up Ain't you sick of being immature? Talkin' loud 'cause you're insecure You always turn it up, turn it up, turn it up, c'mon Why you always gotta show off? You're so vain, I already know That when you hear this on the radio You're gonna turn it up, turn it up, turn it up   'Cause it's all about you-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh It's all about you-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh   Now you said some stuff that you can't take back How did you think that I would react? Cause you, you must be out of your mind, no How did we go straight from love to hate? Now it's so deep that we can't be mates I said, oh, we should give it some time   Someday I hope we can fix it, 'cause I ain't too proud to try Say hi to your friends, and if they ever ask you why We don't talk...   Know you gotta grow up Ain't you sick of being immature? Talkin' loud 'cause you're insecure You always turn it up, turn it up, turn it up, c'mon Why you always gotta show off? You're so vain, I already know That when you hear this on the radio You're gonna turn it up, turn it up, turn it up   'Cause it's all about you-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh It's all about you-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh   Oh-oh-oh-oh-oh Oh-oh-oh-oh-oh Anytime you start it You're growing up a little, darlin' Oh-oh-oh-oh-oh Oh-oh-oh-oh-oh Anytime you start it You're growing up a little, darlin'   Know you gotta grow up  Ain't you sick of being immature?  Talkin' loud 'cause you're insecure  You always turn it up, turn it up, turn it up, c'mon Why you always gotta show off?  You're so offended, I already know  But when you hear this on the radio You're gonna turn it up, turn it up, turn it up   'Cause it's all about you-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh It's all about you-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh Anytime you start it You're growing up a little darlin' 'Cause it's all about you-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh It's all about you-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh Anytime you start it You're growing up a little darlin'"
